2026-07-12 06:05:40 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'SXTUSDT', 'level': 0.00852, 'type': 'pump_base', 'strength': 5, 'dist_atr': 4.0}
2026-07-12 06:05:41 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'SXTUSDT', 'level': 0.00852, 'strength': 5}
2026-07-12 06:05:49 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 6, 'block_threshold': 4}
2026-07-12 06:06:04 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 6, 'block_threshold': 4}
2026-07-12 06:06:20 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 6, 'block_threshold': 4}
2026-07-12 06:06:35 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 6, 'block_threshold': 4}
2026-07-12 06:06:55 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 6, 'block_threshold': 4}
2026-07-12 06:07:11 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 6, 'block_threshold': 4}
2026-07-12 06:07:26 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 6, 'block_threshold': 4}
2026-07-12 06:07:41 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 6, 'block_threshold': 4}
2026-07-12 06:07:56 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 6, 'block_threshold': 4}
2026-07-12 06:08:12 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 7, 'block_threshold': 4}
2026-07-12 06:08:27 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 7, 'block_threshold': 4}
2026-07-12 06:08:42 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 7, 'block_threshold': 4}
2026-07-12 06:08:58 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 7, 'block_threshold': 4}
2026-07-12 06:09:13 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 7, 'block_threshold': 4}
2026-07-12 06:09:28 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 7, 'block_threshold': 4}
2026-07-12 06:09:43 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 7, 'block_threshold': 4}
2026-07-12 06:09:59 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 7, 'block_threshold': 4}
2026-07-12 06:10:14 | INFO | analysis.monitor:start_monitor:126 | monitor: skip level with non-positive p_bounce (won't pass entry filter) | {'symbol': 'BUSDT', 'level': 0.12936315789473685, 'level_type': 'wick_level', 'p_bounce': 0.0, 'expected_depth': 0.0}
2026-07-12 06:10:14 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'BUSDT', 'level': 0.1261}
2026-07-12 06:10:14 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 7, 'block_threshold': 4}
2026-07-12 06:10:14 | INFO | trading.strategy2_signal_filter:check:505 | S2: level marked dead, monitor will stop sending proximity | {'symbol': 'BUSDT', 'level': 0.1261, 'approach_count': 7}
2026-07-12 06:10:14 | INFO | __main__:_start_resistance_after_bounce:1116 | Resistance monitor started | {'symbol': 'BUSDT', 'resistance': 0.12936315789473685, 'from_support': 0.1261}
2026-07-12 06:10:14 | INFO | __main__:_monitored:787 | Level outcome saved | {'symbol': 'BUSDT', 'level': 0.12936315789473685, 'result': 'отбой', 'outcome': None, 'duration': 0.0}
2026-07-12 06:16:16 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'LABUSDT'}
2026-07-12 06:16:16 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'LABUSDT', 'health': 20, 'broken': 0, 'correction': '359%'}
2026-07-12 06:20:21 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'SXTUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.70'}
2026-07-12 06:20:21 | INFO | __main__:_proximity_loop:1258 | Proximity alert sent | {'symbol': 'SXTUSDT', 'level': 0.00852, 'distance_pct': 1.6393442622950793}
2026-07-12 06:20:21 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'SXTUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.70'}
