2026-07-13 06:07:40 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'MAGMAUSDT', 'level': 0.34928, 'event': 'zakol', 'fill_depth': 1.4830508474576165}
2026-07-13 06:08:25 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.19,dir_eff=0.11'}
2026-07-13 06:08:25 | INFO | __main__:_proximity_loop:1258 | Proximity alert sent | {'symbol': 'DODOXUSDT', 'level': 0.020644, 'distance_pct': 1.1681348142474204}
2026-07-13 06:08:30 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.19,dir_eff=0.11'}
2026-07-13 06:08:35 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.19,dir_eff=0.11'}
2026-07-13 06:08:40 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.19,dir_eff=0.11'}
2026-07-13 06:08:45 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.19,dir_eff=0.11'}
2026-07-13 06:08:50 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.19,dir_eff=0.11'}
2026-07-13 06:08:56 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.19,dir_eff=0.11'}
2026-07-13 06:09:01 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.19,dir_eff=0.11'}
2026-07-13 06:09:06 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.19,dir_eff=0.12'}
2026-07-13 06:09:11 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.19,dir_eff=0.12'}
2026-07-13 06:09:16 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.19,dir_eff=0.12'}
2026-07-13 06:09:31 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.19,dir_eff=0.12'}
2026-07-13 06:09:36 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.19,dir_eff=0.12'}
2026-07-13 06:10:47 | INFO | analysis.monitor:start_monitor:126 | monitor: skip level with non-positive p_bounce (won't pass entry filter) | {'symbol': 'DODOXUSDT', 'level': 0.020825999999999997, 'level_type': 'wick_level', 'p_bounce': 0.0, 'expected_depth': 0.0}
2026-07-13 06:10:47 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'DODOXUSDT', 'level': 0.020644}
2026-07-13 06:10:47 | INFO | __main__:_start_resistance_after_bounce:1116 | Resistance monitor started | {'symbol': 'DODOXUSDT', 'resistance': 0.020825999999999997, 'from_support': 0.020644}
2026-07-13 06:10:47 | INFO | __main__:_monitored:787 | Level outcome saved | {'symbol': 'DODOXUSDT', 'level': 0.020825999999999997, 'result': 'отбой', 'outcome': None, 'duration': 0.0}
2026-07-13 06:11:11 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'DODOXUSDT', 'level': 0.020644, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.35}
2026-07-13 06:14:23 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-13 06:17:26 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 8, 'block_threshold': 4}
2026-07-13 06:17:26 | INFO | trading.strategy2_signal_filter:check:505 | S2: level marked dead, monitor will stop sending proximity | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 8}
2026-07-13 06:17:26 | INFO | __main__:_proximity_loop:1258 | Proximity alert sent | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'distance_pct': 1.6150152771715405}
2026-07-13 06:17:26 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 9, 'block_threshold': 4}
2026-07-13 06:17:41 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 9, 'block_threshold': 4}
2026-07-13 06:17:57 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 9, 'block_threshold': 4}
2026-07-13 06:18:12 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 9, 'block_threshold': 4}
2026-07-13 06:18:27 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 9, 'block_threshold': 4}
2026-07-13 06:18:52 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 9, 'block_threshold': 4}
2026-07-13 06:19:07 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 9, 'block_threshold': 4}
2026-07-13 06:19:28 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 9, 'block_threshold': 4}
2026-07-13 06:19:43 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 9, 'block_threshold': 4}
2026-07-13 06:21:14 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 7, 'block_threshold': 4}
2026-07-13 06:21:29 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 8, 'block_threshold': 4}
2026-07-13 06:21:44 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 8, 'block_threshold': 4}
2026-07-13 06:21:59 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 8, 'block_threshold': 4}
2026-07-13 06:22:14 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 8, 'block_threshold': 4}
2026-07-13 06:22:30 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 8, 'block_threshold': 4}
2026-07-13 06:22:45 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 8, 'block_threshold': 4}
2026-07-13 06:23:00 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 8, 'block_threshold': 4}
2026-07-13 06:23:15 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 7, 'block_threshold': 4}
2026-07-13 06:23:30 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'MAGMAUSDT', 'level': 0.3381, 'approach_count': 7, 'block_threshold': 4}
2026-07-13 06:23:35 | INFO | analysis.monitor:start_monitor:126 | monitor: skip level with non-positive p_bounce (won't pass entry filter) | {'symbol': 'MAGMAUSDT', 'level': 0.34175, 'level_type': 'body_level', 'p_bounce': 0.0, 'expected_depth': 0.0}
2026-07-13 06:23:35 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'MAGMAUSDT', 'level': 0.3381}
2026-07-13 06:23:35 | INFO | __main__:_start_resistance_after_bounce:1116 | Resistance monitor started | {'symbol': 'MAGMAUSDT', 'resistance': 0.34175, 'from_support': 0.3381}
2026-07-13 06:23:36 | INFO | __main__:_monitored:787 | Level outcome saved | {'symbol': 'MAGMAUSDT', 'level': 0.34175, 'result': 'отбой', 'outcome': None, 'duration': 0.0}
2026-07-13 06:24:21 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'BILLUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.66'}
