2026-07-15 06:07:40 | WARNING | analysis.claude_strength:calculate_strength_with_claude:305 | Claude level not matched | {'symbol': 'AKEUSDT', 'level_price': 0.00030514, 'claude_prices': [0.00035, 0.00032, 0.00031]}
2026-07-15 06:07:40 | WARNING | analysis.claude_strength:calculate_strength_with_claude:305 | Claude level not matched | {'symbol': 'AKEUSDT', 'level_price': 0.00031656, 'claude_prices': [0.00035, 0.00032, 0.00031]}
2026-07-15 06:07:40 | INFO | analysis.claude_strength:calculate_strength_with_claude:298 | Claude strength assigned | {'symbol': 'AKEUSDT', 'level': 0.00032097, 'strength': 3, 'p_bounce_claude': 87, 'reason': 'Body-level, только 3 касания, низкий объём'}
2026-07-15 06:07:40 | INFO | analysis.claude_strength:calculate_strength_with_claude:298 | Claude strength assigned | {'symbol': 'AKEUSDT', 'level': 0.0003491, 'strength': 5, 'p_bounce_claude': 96, 'reason': 'POC с максимальным объёмом, 2.9x среднего'}
2026-07-15 06:07:40 | INFO | __main__:_auto_screener_loop:298 | Auto monitoring started | {'symbol': 'AKEUSDT', 'level': 0.0003491}
2026-07-15 06:07:40 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 1}
2026-07-15 06:07:52 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'AKEUSDT'}
2026-07-15 06:10:00 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'AKEUSDT', 'level': 0.0003491, 'current': 0.0003889, 'distance_pct': 10.2}
2026-07-15 06:10:00 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'AKEUSDT', 'level': 0.0003491}
2026-07-15 06:10:01 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'AKEUSDT', 'level': 0.0003491, 'close_below': 19}
2026-07-15 06:12:21 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 11, 'block_threshold': 4}
2026-07-15 06:12:36 | INFO | analysis.monitor:start_monitor:126 | monitor: skip level with non-positive p_bounce (won't pass entry filter) | {'symbol': 'BILLUSDT', 'level': 0.038489999999999996, 'level_type': 'wick_level', 'p_bounce': 0.0, 'expected_depth': 0.0}
2026-07-15 06:12:36 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'BILLUSDT', 'level': 0.03808}
2026-07-15 06:12:36 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 11, 'block_threshold': 4}
2026-07-15 06:12:36 | INFO | __main__:_start_resistance_after_bounce:1116 | Resistance monitor started | {'symbol': 'BILLUSDT', 'resistance': 0.038489999999999996, 'from_support': 0.03808}
2026-07-15 06:12:37 | INFO | __main__:_monitored:787 | Level outcome saved | {'symbol': 'BILLUSDT', 'level': 0.038489999999999996, 'result': 'отбой', 'outcome': None, 'duration': 0.0}
2026-07-15 06:12:52 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 11, 'block_threshold': 4}
2026-07-15 06:13:07 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 11, 'block_threshold': 4}
2026-07-15 06:13:22 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 10, 'block_threshold': 4}
2026-07-15 06:13:37 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 10, 'block_threshold': 4}
