2026-07-16 06:08:00 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.41'}
2026-07-16 06:08:00 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.41'}
2026-07-16 06:08:06 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.41'}
2026-07-16 06:09:32 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'AKEUSDT', 'level': 0.00072942, 'event': 'zakol', 'fill_depth': 4.019632036412491}
2026-07-16 06:09:37 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BANKUSDT', 'level': 0.053973, 'approach_count': 5, 'block_threshold': 4}
2026-07-16 06:09:43 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'AKEUSDT', 'level': 0.0007408, 'event': 'zakol', 'fill_depth': 5.494060475161981}
2026-07-16 06:10:08 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'AKEUSDT', 'level': 0.00075062, 'event': 'zakol', 'fill_depth': 6.730436172763844}
2026-07-16 06:10:29 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'AKEUSDT', 'level': 0.00076046, 'event': 'zakol', 'fill_depth': 0.757436288562193}
2026-07-16 06:11:14 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'AKEUSDT'}
2026-07-16 06:11:35 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.40'}
2026-07-16 06:11:35 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.40'}
2026-07-16 06:11:40 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.40'}
2026-07-16 06:11:45 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.40'}
2026-07-16 06:12:21 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.38'}
2026-07-16 06:12:21 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.38'}
2026-07-16 06:12:26 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.38'}
2026-07-16 06:12:31 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.38'}
2026-07-16 06:12:36 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.41'}
2026-07-16 06:12:36 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.41'}
2026-07-16 06:12:41 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.41'}
2026-07-16 06:12:46 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.41'}
2026-07-16 06:12:51 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.41'}
2026-07-16 06:12:51 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.41'}
2026-07-16 06:12:57 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.41'}
2026-07-16 06:13:02 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.41'}
2026-07-16 06:13:07 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.42'}
2026-07-16 06:13:07 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.02,dir_eff=0.42'}
