2026-07-18 06:08:01 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:08:16 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:10:02 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': '1000XECUSDT', 'level': 0.00815014, 'event': 'zakol', 'fill_depth': 0.3575398704807576}
2026-07-18 06:11:55 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'ESPORTSUSDT', 'level': 0.03062, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.05}
2026-07-18 06:14:04 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 3, 'new': 0}
2026-07-18 06:15:06 | INFO | analysis.monitor:start_monitor:126 | monitor: skip level with non-positive p_bounce (won't pass entry filter) | {'symbol': 'BANKUSDT', 'level': 0.069235625, 'level_type': 'wick_level', 'p_bounce': 0.0, 'expected_depth': 0.0}
2026-07-18 06:15:06 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'BANKUSDT', 'level': 0.06861}
2026-07-18 06:15:06 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BANKUSDT', 'level': 0.06861, 'approach_count': 12, 'block_threshold': 4}
2026-07-18 06:15:06 | INFO | trading.strategy2_signal_filter:check:505 | S2: level marked dead, monitor will stop sending proximity | {'symbol': 'BANKUSDT', 'level': 0.06861, 'approach_count': 12}
2026-07-18 06:15:06 | INFO | __main__:_start_resistance_after_bounce:1116 | Resistance monitor started | {'symbol': 'BANKUSDT', 'resistance': 0.069235625, 'from_support': 0.06861}
2026-07-18 06:15:07 | INFO | __main__:_monitored:787 | Level outcome saved | {'symbol': 'BANKUSDT', 'level': 0.069235625, 'result': 'отбой', 'outcome': None, 'duration': 0.0}
