2026-07-05 11:58:16 | WARNING | data.collector:_stream_agg_trades:180 | Failed to create aggTrades client | {'symbol': 'CAPUSDT', 'error': ''}
2026-07-05 11:58:35 | WARNING | data.collector:_stream_agg_trades:180 | Failed to create aggTrades client | {'symbol': 'CAPUSDT', 'error': ''}
2026-07-05 11:58:59 | WARNING | data.collector:_stream_agg_trades:180 | Failed to create aggTrades client | {'symbol': 'CAPUSDT', 'error': ''}
2026-07-05 12:00:18 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-05 12:00:22 | WARNING | data.collector:_stream_agg_trades:180 | Failed to create aggTrades client | {'symbol': 'CAPUSDT', 'error': ''}
2026-07-05 12:00:29 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-05 12:00:38 | WARNING | data.collector:_stream_agg_trades:180 | Failed to create aggTrades client | {'symbol': 'CAPUSDT', 'error': ''}
2026-07-05 12:00:43 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-05 12:15:15 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-05 12:15:36 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-05 14:23:36 | WARNING | data.collector:_stream_agg_trades:180 | Failed to create aggTrades client | {'symbol': 'BTWUSDT', 'error': 'Cannot connect to host api.binance.com:443 ssl:default [Connection reset by peer]'}
2026-07-05 18:40:40 | WARNING | trading.bybit_client:cancel_order:205 | bybit cancel_order unexpected response | {'symbol': 'OUSDT', 'order_id': '2be928a9-0ceb-42d9-86db-717e5c2f0e59', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783276840129}}
2026-07-05 19:23:05 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-05 19:23:28 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-05 19:23:48 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-05 19:23:59 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-05 19:26:18 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-05 19:27:18 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-05 19:38:19 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-05 19:38:31 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-05 19:38:47 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-05 19:39:00 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-05 20:29:58 | WARNING | trading.bybit_client:cancel_order:205 | bybit cancel_order unexpected response | {'symbol': 'CAPUSDT', 'order_id': '27175187-8602-4f79-8c04-c2a5a4384b25', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783283398842}}
2026-07-05 20:32:15 | WARNING | trading.bybit_client:cancel_order:205 | bybit cancel_order unexpected response | {'symbol': 'HMSTRUSDT', 'order_id': 'ff91c553-92b1-47ff-a2a5-7490a4e3dd1c', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783283535904}}
2026-07-05 20:36:15 | WARNING | data.collector:_stream_agg_trades:180 | Failed to create aggTrades client | {'symbol': 'HMSTRUSDT', 'error': 'Cannot connect to host api.binance.com:443 ssl:default [Connection reset by peer]'}
