2026-07-06 07:49:16 | WARNING | trading.bybit_client:cancel_order:205 | bybit cancel_order unexpected response | {'symbol': 'HMSTRUSDT', 'order_id': 'c9e4f003-9b24-425c-a1bd-b033a6e26ab6', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783324155957}}
2026-07-06 07:57:29 | WARNING | trading.bybit_client:cancel_order:205 | bybit cancel_order unexpected response | {'symbol': 'TLMUSDT', 'order_id': 'a4eaecca-ec1e-4827-8e52-9c03fba33ea4', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783324649386}}
2026-07-06 11:15:53 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-06 11:16:11 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-06 12:37:59 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-06 12:38:08 | WARNING | data.collector:_stream_agg_trades:180 | Failed to create aggTrades client | {'symbol': 'BELUSDT', 'error': ''}
2026-07-06 12:50:25 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-06 13:30:12 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-06 20:51:39 | WARNING | trading.bybit_client:cancel_order:205 | bybit cancel_order unexpected response | {'symbol': 'TLMUSDT', 'order_id': 'cdd6d501-673d-4212-b257-536a9eb204ba', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783371099226}}
2026-07-07 00:11:38 | WARNING | trading.bybit_client:cancel_order:205 | bybit cancel_order unexpected response | {'symbol': 'BLURUSDT', 'order_id': 'dd30a1dd-d8da-4c0a-989d-244eb108c1c0', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783383098247}}
2026-07-07 01:09:05 | WARNING | data.collector:_stream_agg_trades:180 | Failed to create aggTrades client | {'symbol': 'BLURUSDT', 'error': 'Cannot connect to host api.binance.com:443 ssl:default [Connection reset by peer]'}
2026-07-07 02:43:40 | WARNING | trading.strategy2_live:_recalculate_params:2117 | S2Live: full grid SL update skipped — price already at/below new trigger, closing market immediately | {'trade_id': 'e4039e00-ce0b-40f0-b371-5cdc9b6062a3', 'symbol': 'HMSTRUSDT', 'current_price': 0.000343, 'sl_trigger': 0.000343}
2026-07-07 06:35:51 | WARNING | trading.bybit_client:cancel_order:205 | bybit cancel_order unexpected response | {'symbol': 'TRIAUSDT', 'order_id': '0d190e93-d83b-413f-99cc-8d3c1b919d70', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783406151573}}
