2026-07-07 07:25:58 | WARNING | trading.bybit_client:cancel_order:205 | bybit cancel_order unexpected response | {'symbol': 'HMSTRUSDT', 'order_id': '75bb5b0f-0d20-4f8d-8d6a-a3967ddd4c62', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783409158608}}
2026-07-07 07:49:17 | WARNING | data.collector:_stream_agg_trades:180 | Failed to create aggTrades client | {'symbol': 'EPICUSDT', 'error': 'Cannot connect to host api.binance.com:443 ssl:default [Connection reset by peer]'}
2026-07-07 14:13:21 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-07 14:14:01 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-07 14:17:23 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-07 14:17:34 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-07 14:18:03 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-07 17:31:13 | WARNING | trading.bybit_client:cancel_order:205 | bybit cancel_order unexpected response | {'symbol': 'USUSDT', 'order_id': 'bc58ad03-5b7a-4c9a-b1a8-c082af7b4520', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783445473324}}
2026-07-07 19:20:45 | WARNING | analysis.claude_strength:calculate_strength_with_claude:305 | Claude level not matched | {'symbol': 'SPELLUSDT', 'level_price': 8.89e-05, 'claude_prices': [9e-05, 0.0001]}
2026-07-07 19:20:45 | WARNING | analysis.claude_strength:calculate_strength_with_claude:305 | Claude level not matched | {'symbol': 'SPELLUSDT', 'level_price': 9.733e-05, 'claude_prices': [9e-05, 0.0001]}
2026-07-07 19:20:45 | WARNING | analysis.claude_strength:calculate_strength_with_claude:305 | Claude level not matched | {'symbol': 'SPELLUSDT', 'level_price': 9.846e-05, 'claude_prices': [9e-05, 0.0001]}
2026-07-07 19:20:45 | WARNING | analysis.claude_strength:calculate_strength_with_claude:305 | Claude level not matched | {'symbol': 'SPELLUSDT', 'level_price': 0.00010054, 'claude_prices': [9e-05, 0.0001]}
2026-07-07 19:20:45 | WARNING | analysis.claude_strength:calculate_strength_with_claude:305 | Claude level not matched | {'symbol': 'SPELLUSDT', 'level_price': 0.0001014, 'claude_prices': [9e-05, 0.0001]}
2026-07-07 20:06:07 | WARNING | data.collector:_stream_agg_trades:180 | Failed to create aggTrades client | {'symbol': 'EVAAUSDT', 'error': 'Cannot connect to host api.binance.com:443 ssl:default [Connection reset by peer]'}
2026-07-07 21:05:39 | WARNING | data.collector:_stream_agg_trades:180 | Failed to create aggTrades client | {'symbol': 'EVAAUSDT', 'error': 'Cannot connect to host api.binance.com:443 ssl:default [Connection reset by peer]'}
2026-07-07 23:11:36 | WARNING | trading.bybit_client:cancel_order:205 | bybit cancel_order unexpected response | {'symbol': 'TRIAUSDT', 'order_id': 'e8317439-7d39-4d49-a837-c05e1d225334', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783465896557}}
2026-07-08 04:28:04 | WARNING | trading.bybit_client:cancel_order:205 | bybit cancel_order unexpected response | {'symbol': 'CLOUSDT', 'order_id': 'f450521d-c64d-4205-8ce1-32a8fe7761cf', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783484884814}}
2026-07-08 04:28:07 | WARNING | trading.strategy2_live:_realized_pnl_from_executions:1897 | S2Live: buy/sell qty mismatch on close — PnL booked on matched qty only, remainder left for reconcile | {'trade_id': '88fec815-fd74-48f3-8bee-7a4097aa01ea', 'symbol': 'CLOUSDT', 'buy_qty': 496.0, 'sell_qty': 248.0, 'matched_qty': 248.0}
