2026-07-08 09:59:06 | WARNING | trading.bybit_client:cancel_order:205 | bybit cancel_order unexpected response | {'symbol': 'CLOUSDT', 'order_id': 'c81e9e8c-7993-437e-8c40-f2cc7e4063dd', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783504746450}}
2026-07-08 09:59:09 | WARNING | trading.strategy2_live:_realized_pnl_from_executions:1897 | S2Live: buy/sell qty mismatch on close — PnL booked on matched qty only, remainder left for reconcile | {'trade_id': 'b331b94f-f4fa-4f8e-a0ca-3f1fd13f3f9e', 'symbol': 'CLOUSDT', 'buy_qty': 475.0, 'sell_qty': 237.0, 'matched_qty': 237.0}
2026-07-08 14:42:22 | ERROR | trading.strategy2_live:_open_grid:659 | S2Live: failed to place limit order | {'symbol': 'SOXLUSDT', 'index': 1, 'price': 167.06, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXLUSDT price=167.06 qty=0.59'}
2026-07-08 14:42:22 | ERROR | trading.strategy2_live:_open_grid:659 | S2Live: failed to place limit order | {'symbol': 'SOXLUSDT', 'index': 2, 'price': 164.57, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXLUSDT price=164.57 qty=0.6'}
2026-07-08 14:42:37 | ERROR | trading.strategy2_live:_open_grid:659 | S2Live: failed to place limit order | {'symbol': 'SOXLUSDT', 'index': 1, 'price': 167.06, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXLUSDT price=167.06 qty=0.59'}
2026-07-08 14:42:37 | ERROR | trading.strategy2_live:_open_grid:659 | S2Live: failed to place limit order | {'symbol': 'SOXLUSDT', 'index': 2, 'price': 164.57, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXLUSDT price=164.57 qty=0.6'}
2026-07-08 14:43:07 | ERROR | trading.strategy2_live:_open_grid:659 | S2Live: failed to place limit order | {'symbol': 'SOXLUSDT', 'index': 1, 'price': 167.06, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXLUSDT price=167.06 qty=0.59'}
2026-07-08 14:43:08 | ERROR | trading.strategy2_live:_open_grid:659 | S2Live: failed to place limit order | {'symbol': 'SOXLUSDT', 'index': 2, 'price': 164.57, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXLUSDT price=164.57 qty=0.6'}
2026-07-08 14:43:23 | ERROR | trading.strategy2_live:_open_grid:659 | S2Live: failed to place limit order | {'symbol': 'SOXLUSDT', 'index': 1, 'price': 167.06, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXLUSDT price=167.06 qty=0.59'}
2026-07-08 14:43:23 | ERROR | trading.strategy2_live:_open_grid:659 | S2Live: failed to place limit order | {'symbol': 'SOXLUSDT', 'index': 2, 'price': 164.57, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXLUSDT price=164.57 qty=0.6'}
2026-07-08 14:47:14 | WARNING | trading.bybit_client:cancel_order:205 | bybit cancel_order unexpected response | {'symbol': 'KAITOUSDT', 'order_id': '64cabb00-55a1-4056-9532-9cd6cdd206b1', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783522034242}}
2026-07-08 14:47:16 | WARNING | trading.strategy2_live:_realized_pnl_from_executions:1897 | S2Live: buy/sell qty mismatch on close — PnL booked on matched qty only, remainder left for reconcile | {'trade_id': 'a748ba47-afbe-4eb6-ae77-c58372f95406', 'symbol': 'KAITOUSDT', 'buy_qty': 160.0, 'sell_qty': 80.0, 'matched_qty': 80.0}
2026-07-08 16:10:39 | WARNING | trading.strategy2_live:_reconcile_one:1572 | S2Live reconcile: price below stop_loss, forcing market close | {'trade_id': '81c1f7e3-f6c5-4bc0-a624-ec16a7476bf6', 'symbol': 'CLOUSDT', 'current_price': 0.19646, 'stop_loss': 0.20321626}
2026-07-08 16:10:43 | WARNING | trading.strategy2_live:_realized_pnl_from_executions:1897 | S2Live: buy/sell qty mismatch on close — PnL booked on matched qty only, remainder left for reconcile | {'trade_id': '81c1f7e3-f6c5-4bc0-a624-ec16a7476bf6', 'symbol': 'CLOUSDT', 'buy_qty': 1458.0, 'sell_qty': 974.0, 'matched_qty': 974.0}
2026-07-08 16:34:20 | WARNING | trading.bybit_client:set_leverage:93 | bybit set_leverage unexpected response | {'symbol': 'SYNUSDT', 'resp': {'retCode': 110074, 'retMsg': 'closed symbol error: This SYNUSDT contract is not live', 'result': {}, 'retExtInfo': {}, 'time': 1783528460699}}
