2026-07-10 08:27:48 | WARNING | trading.bybit_client:cancel_order:247 | bybit cancel_order unexpected response | {'symbol': 'EDGEUSDT', 'order_id': '84100aec-f18f-4ea0-b212-58d585f2e2c5', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783672068677}}
2026-07-10 08:27:52 | WARNING | trading.strategy2_live:_realized_pnl_from_executions:1888 | S2Live: buy/sell qty mismatch on close — PnL booked on matched qty only, remainder left for reconcile | {'trade_id': 'f3199993-dab8-4a22-a709-2e48845a43df', 'symbol': 'EDGEUSDT', 'buy_qty': 246.0, 'sell_qty': 123.0, 'matched_qty': 123.0}
2026-07-10 13:38:43 | WARNING | trading.bybit_client:cancel_order:247 | bybit cancel_order unexpected response | {'symbol': 'ESPORTSUSDT', 'order_id': '431b0465-2a86-45da-9e64-9d780f258abc', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783690723338}}
2026-07-10 14:07:21 | WARNING | trading.bybit_client:cancel_order:247 | bybit cancel_order unexpected response | {'symbol': 'TACUSDT', 'order_id': '1e43d3b5-d30c-4cc8-b2ab-7544cc2c2597', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783692440917}}
2026-07-10 14:07:23 | WARNING | trading.strategy2_live:_realized_pnl_from_executions:1888 | S2Live: buy/sell qty mismatch on close — PnL booked on matched qty only, remainder left for reconcile | {'trade_id': '9e50d84d-851c-4e8f-8eab-5ecbe43a73df', 'symbol': 'TACUSDT', 'buy_qty': 26640.0, 'sell_qty': 13320.0, 'matched_qty': 13320.0}
2026-07-10 17:04:52 | WARNING | trading.bybit_client:cancel_order:247 | bybit cancel_order unexpected response | {'symbol': 'DEXEUSDT', 'order_id': '99d9e73e-2ab5-4a88-ba23-13d5e3124de3', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783703092352}}
2026-07-10 18:36:53 | WARNING | trading.strategy5_live:_finalize_closed:320 | S5Live: no executions, PnL estimated | {'trade_id': 'c829e098-e795-41f2-8fd5-b06632fab473'}
2026-07-10 20:00:30 | WARNING | trading.bybit_client:set_leverage:93 | bybit set_leverage unexpected response | {'symbol': 'SKYAIUSDT', 'resp': {'retCode': 110074, 'retMsg': 'closed symbol error: This SKYAIUSDT contract is not live', 'result': {}, 'retExtInfo': {}, 'time': 1783713630173}}
2026-07-10 20:00:30 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SKYAIUSDT', 'index': 1, 'price': 0.03964, 'error': 'place_limit_order failed: retCode=110074 retMsg=This contract is not live symbol=SKYAIUSDT price=0.03964 qty=2520.0'}
2026-07-10 20:00:30 | WARNING | trading.strategy2_live:_open_grid:663 | S2Live: symbol not live on Bybit, cooldown 24h set | {'symbol': 'SKYAIUSDT'}
2026-07-10 21:15:29 | WARNING | trading.strategy5_live:_finalize_closed:320 | S5Live: no executions, PnL estimated | {'trade_id': '5e098999-d0ed-470a-ba9b-e7e2685587e2'}
2026-07-10 23:36:01 | WARNING | trading.bybit_client:cancel_order:247 | bybit cancel_order unexpected response | {'symbol': 'VELVETUSDT', 'order_id': 'a605513c-3e8e-4f25-b049-07669167c355', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783726561843}}
2026-07-10 23:36:05 | WARNING | trading.bybit_client:cancel_order:247 | bybit cancel_order unexpected response | {'symbol': 'VELVETUSDT', 'order_id': '3b468516-dc22-44ed-9edf-4cdf7b956889', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783726565071}}
2026-07-11 00:16:20 | WARNING | trading.bybit_client:cancel_order:247 | bybit cancel_order unexpected response | {'symbol': 'TACUSDT', 'order_id': '769e752a-c392-45e3-ad18-511d76b34c5b', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783728980186}}
2026-07-11 03:33:46 | WARNING | trading.bybit_client:cancel_order:247 | bybit cancel_order unexpected response | {'symbol': 'MMTUSDT', 'order_id': 'cefa7ffc-556b-402b-afcd-6e0ab61707e8', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1783740826066}}
