2026-07-17 10:05:27 | WARNING | trading.strategy5_live:_finalize_closed:320 | S5Live: no executions, PnL estimated | {'trade_id': 'c96d0b4c-83e8-4009-bbec-f8e2117027d3'}
2026-07-17 15:27:39 | WARNING | trading.bybit_client:cancel_order:247 | bybit cancel_order unexpected response | {'symbol': 'LUMIAUSDT', 'order_id': '2c5fc45b-88b6-4d7f-bf9d-85544d05637e', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1784302059380}}
2026-07-17 15:27:43 | WARNING | trading.strategy2_live:_realized_pnl_from_executions:1888 | S2Live: buy/sell qty mismatch on close — PnL booked on matched qty only, remainder left for reconcile | {'trade_id': '0cfe6916-c581-44f4-ae6d-f0b46197e34e', 'symbol': 'LUMIAUSDT', 'buy_qty': 1146.6, 'sell_qty': 573.3, 'matched_qty': 573.3}
2026-07-17 15:55:32 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 1, 'price': 53.18, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=53.18 qty=1.88'}
2026-07-17 15:55:33 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 2, 'price': 52.38, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=52.38 qty=1.9'}
2026-07-17 15:55:33 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 1, 'price': 53.18, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=53.18 qty=1.88'}
2026-07-17 15:55:34 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 2, 'price': 52.38, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=52.38 qty=1.9'}
2026-07-17 15:55:37 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 1, 'price': 53.18, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=53.18 qty=1.88'}
2026-07-17 15:55:37 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 2, 'price': 52.38, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=52.38 qty=1.9'}
2026-07-17 15:55:42 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 1, 'price': 53.18, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=53.18 qty=1.88'}
2026-07-17 15:55:43 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 2, 'price': 52.38, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=52.38 qty=1.9'}
