2026-07-18 06:53:11 | DEBUG | trading.strategy2_live:_try_open:513 | S2Live: symbol blocked (not live on Bybit) | {'symbol': 'DODOXUSDT', 'unblocked_in_sec': 85094}
2026-07-18 06:53:11 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'BANKUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:11 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:11 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'SOXSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:16 | DEBUG | trading.strategy2_live:_try_open:513 | S2Live: symbol blocked (not live on Bybit) | {'symbol': 'DODOXUSDT', 'unblocked_in_sec': 85089}
2026-07-18 06:53:16 | DEBUG | trading.strategy2_live:_try_open:513 | S2Live: symbol blocked (not live on Bybit) | {'symbol': 'DODOXUSDT', 'unblocked_in_sec': 85089}
2026-07-18 06:53:16 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'BANKUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:16 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:16 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'SOXSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:21 | DEBUG | trading.strategy2_live:_try_open:513 | S2Live: symbol blocked (not live on Bybit) | {'symbol': 'DODOXUSDT', 'unblocked_in_sec': 85084}
2026-07-18 06:53:21 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'BANKUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:21 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:21 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'SOXSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:27 | DEBUG | trading.strategy2_live:_try_open:513 | S2Live: symbol blocked (not live on Bybit) | {'symbol': 'DODOXUSDT', 'unblocked_in_sec': 85079}
2026-07-18 06:53:27 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'BANKUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:27 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:27 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'SOXSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:32 | DEBUG | trading.strategy2_live:_try_open:513 | S2Live: symbol blocked (not live on Bybit) | {'symbol': 'DODOXUSDT', 'unblocked_in_sec': 85074}
2026-07-18 06:53:32 | DEBUG | trading.strategy2_live:_try_open:513 | S2Live: symbol blocked (not live on Bybit) | {'symbol': 'DODOXUSDT', 'unblocked_in_sec': 85074}
2026-07-18 06:53:32 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'BANKUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:32 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:32 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'SOXSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:37 | DEBUG | trading.strategy2_live:_try_open:513 | S2Live: symbol blocked (not live on Bybit) | {'symbol': 'DODOXUSDT', 'unblocked_in_sec': 85069}
2026-07-18 06:53:37 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'BANKUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:37 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:37 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'SOXSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:42 | DEBUG | trading.strategy2_live:_try_open:513 | S2Live: symbol blocked (not live on Bybit) | {'symbol': 'DODOXUSDT', 'unblocked_in_sec': 85064}
2026-07-18 06:53:42 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'BANKUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:42 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:42 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'SOXSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:47 | DEBUG | trading.strategy2_live:_try_open:513 | S2Live: symbol blocked (not live on Bybit) | {'symbol': 'DODOXUSDT', 'unblocked_in_sec': 85059}
2026-07-18 06:53:47 | DEBUG | trading.strategy2_live:_try_open:513 | S2Live: symbol blocked (not live on Bybit) | {'symbol': 'DODOXUSDT', 'unblocked_in_sec': 85058}
2026-07-18 06:53:47 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'BANKUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:47 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:47 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'SOXSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:52 | DEBUG | trading.strategy2_live:_try_open:513 | S2Live: symbol blocked (not live on Bybit) | {'symbol': 'DODOXUSDT', 'unblocked_in_sec': 85053}
2026-07-18 06:53:52 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'BANKUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:52 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:52 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'SOXSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:57 | DEBUG | trading.strategy2_live:_try_open:513 | S2Live: symbol blocked (not live on Bybit) | {'symbol': 'DODOXUSDT', 'unblocked_in_sec': 85048}
2026-07-18 06:53:57 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'BANKUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:57 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:53:57 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'SOXSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:54:02 | DEBUG | trading.strategy2_live:_try_open:513 | S2Live: symbol blocked (not live on Bybit) | {'symbol': 'DODOXUSDT', 'unblocked_in_sec': 85043}
2026-07-18 06:54:02 | DEBUG | trading.strategy2_live:_try_open:513 | S2Live: symbol blocked (not live on Bybit) | {'symbol': 'DODOXUSDT', 'unblocked_in_sec': 85043}
2026-07-18 06:54:02 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'BANKUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:54:02 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:54:02 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'SOXSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:54:07 | DEBUG | trading.strategy2_live:_try_open:513 | S2Live: symbol blocked (not live on Bybit) | {'symbol': 'DODOXUSDT', 'unblocked_in_sec': 85038}
2026-07-18 06:54:07 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'BANKUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-18 06:54:07 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
