id,strategy_id,strategy_name,symbol,level,level_type,level_side,entry_signal,strength_at_entry,p_bounce_at_entry,expected_depth_at_entry,approach_style,vol_ratio_at_entry,atr_at_entry,entry_price,entry_time,entry_time_dt,position_size,direction,grid_fill_count,max_favorable_pct,max_adverse_pct,exit_price,exit_time,exit_time_dt,exit_reason,pnl_pct,pnl_usdt,duration_minutes,status,created_at,created_at_dt,updated_at,updated_at_dt,post_exit_high_30m,post_exit_low_30m,post_exit_tracked_until,post_exit_tracked_until_dt
531,2,limit_grid,PLAYUSDT,0.039275,consolidation_base,support,proximity,5,0.874,0.71,unknown,1.04,0.000466428571428573,0.03888044,1781343221.7473106,2026-06-13 12:33:41,200.0,long,8,2.4307016515774804,1.687882033593906,0.039935319999999996,1781343422.9734187,2026-06-13 12:37:02,trailing_stop,2.713138,4.341,3.35,closed,1781343221.7473905,2026-06-13 12:33:41,1781345223.1204329,2026-06-13 13:07:03,0.03896,0.03605,1781345223.12,2026-06-13 13:07:03
532,1,bounce,PLAYUSDT,0.039275,consolidation_base,support,bounce,5,0.874,0.71,unknown,0.0,0.0008378571428571431,0.03956,1781343248.3336666,2026-06-13 12:34:08,100.0,long,,0.0,0.0,0.03956,1781343249.9051995,2026-06-13 12:34:09,trailing_stop,0.0,0.0,0.03,closed,1781343248.3336723,2026-06-13 12:34:08,1781345050.0704918,2026-06-13 13:04:10,0.04048,0.03605,1781345050.07,2026-06-13 13:04:10
533,2,limit_grid,JCTUSDT,0.00731015,body_level,support,proximity,4,0.677,0.87,unknown,1.22,7.299999999999996e-05,0.00732112,1781344206.6379383,2026-06-13 12:50:06,200.0,long,1,2.907751819393747,0.0,0.00750346,1781344782.898496,2026-06-13 12:59:42,trailing_stop,2.490603,0.4981,9.6,closed,1781344206.6380117,2026-06-13 12:50:06,1781346583.082312,2026-06-13 13:29:43,0.0077,0.007323,1781346583.082,2026-06-13 13:29:43
534,2,limit_grid,AIOUSDT,0.14054,consolidation_base,support,proximity,4,0.825,0.82,impulse,2.97,0.0007257142857142759,0.14034764,1781344845.8098521,2026-06-13 13:00:45,200.0,long,5,1.330582040700164,0.3839459105657962,0.1416388,1781345734.9825268,2026-06-13 13:15:34,trailing_stop,0.919973,0.92,14.82,closed,1781344845.8099306,2026-06-13 13:00:45,1781347535.141966,2026-06-13 13:45:35,0.14126,0.13503,1781347535.142,2026-06-13 13:45:35
535,2,limit_grid,HUSDT,0.23553,pump_base,support,proximity,5,0.919,0.66,flash,2.55,0.0022228571428571375,0.23557456,1781347010.1937277,2026-06-13 13:36:50,200.0,long,2,0.7961131286841864,0.0,0.24089106,1781347021.4693882,2026-06-13 13:37:01,trailing_stop,2.256823,0.9027,0.19,closed,1781347010.193801,2026-06-13 13:36:50,1781348821.6350267,2026-06-13 14:07:01,0.26239,0.23672,1781348821.635,2026-06-13 14:07:01
536,2,limit_grid,VELVETUSDT,0.3853,pump_base,support,proximity,5,0.949,0.96,flash,1.25,0.0036714285714285594,0.38434819,1781347019.0033092,2026-06-13 13:36:59,200.0,long,4,1.9127994332430744,0.025953802232024134,0.391715,1781347024.8363242,2026-06-13 13:37:04,trailing_stop,1.916702,1.5334,0.1,closed,1781347019.0033817,2026-06-13 13:36:59,1781348824.9852326,2026-06-13 14:07:04,0.3966,0.3775,1781348824.985,2026-06-13 14:07:04
537,2,limit_grid,ATUSDT,0.12869,pump_base,support,proximity,5,0.876,1.07,flash,0.14,0.0034657142857142903,0.12888304,1781347300.4994473,2026-06-13 13:41:40,200.0,long,1,1.7201332308735038,0.14202023788389492,0.1309,1781349110.3764386,2026-06-13 14:11:50,breakout_confirmed,1.564954,0.313,30.16,closed,1781347300.4995186,2026-06-13 13:41:40,1781350910.5255558,2026-06-13 14:41:50,0.1316,0.1292,1781350910.526,2026-06-13 14:41:50
538,2,limit_grid,HUSDT,0.25089,body_level,support,proximity,4,0.775,0.84,unknown,0.94,0.002214999999999991,0.25065106,1781349489.4320037,2026-06-13 14:18:09,200.0,long,3,1.8707042371973335,0.16000730258232645,0.255042165,1781349842.0596316,2026-06-13 14:24:02,trailing_stop,1.75188,1.0511,5.88,closed,1781349489.4320765,2026-06-13 14:18:09,1781351642.2533827,2026-06-13 14:54:02,0.25766,0.24104,1781351642.253,2026-06-13 14:54:02
539,3,breakout,BEATUSDT,8.7302,body_level,support,breakout,4,0.756,0.54,flash,3.59,0.16156428571428602,8.3919,1781350229.8665395,2026-06-13 14:30:29,100.0,short,,0.0,0.0,8.3919,1781350536.0265806,2026-06-13 14:35:36,trailing_stop,0.0,0.0,5.1,closed,1781350229.866545,2026-06-13 14:30:29,1781350536.0265806,2026-06-13 14:35:36,,,,
540,2,limit_grid,RIFUSDT,0.08984,pump_base,support,proximity,5,0.945,0.82,flash,3.51,0.0007149999999999984,0.08908101,1781350302.2544065,2026-06-13 14:31:42,200.0,long,10,0.0,1.024042742653611,0.08970524,1781350306.7574022,2026-06-13 14:31:46,full_grid_tp,0.700744,1.4015,0.08,closed,1781350302.2544792,2026-06-13 14:31:42,1781352106.9364455,2026-06-13 15:01:46,0.09259,0.0838,1781352106.936,2026-06-13 15:01:46
541,2,limit_grid,COAIUSDT,0.4083,consolidation_base,support,proximity,3,0.625,0.99,flash,6.5,0.0030071428571428393,0.40515352,1781350317.9632242,2026-06-13 14:31:57,200.0,long,10,0.0,1.6409502816556416,0.40768755,1781350325.9255474,2026-06-13 14:32:05,full_grid_tp,0.625449,1.2509,0.13,closed,1781350317.963299,2026-06-13 14:31:57,1781352126.3912818,2026-06-13 15:02:06,0.4022,0.3832,1781352126.391,2026-06-13 15:02:06
542,2,limit_grid,VVVUSDT,17.1365,body_level,support,proximity,3,0.665,0.78,impulse,1.45,0.07385714285714277,17.06988332,1781350706.0941427,2026-06-13 14:38:26,200.0,long,10,0.720683920287106,0.7092520966656319,16.959,1781352599.132875,2026-06-13 15:09:59,stop_loss,-0.649585,-1.2992,31.55,closed,1781350706.0942178,2026-06-13 14:38:26,1781354399.2779715,2026-06-13 15:39:59,17.445,16.914,1781354399.278,2026-06-13 15:39:59
543,2,limit_grid,SKYAIUSDT,0.34876,body_level,support,proximity,4,0.765,0.76,flash,4.85,0.00291,0.34887897,1781353237.0143118,2026-06-13 15:20:37,200.0,long,2,1.9522615536270345,0.05989756275651425,0.35502968,1781354364.9022198,2026-06-13 15:39:24,trailing_stop,1.762992,0.7052,18.8,closed,1781353237.0143862,2026-06-13 15:20:37,1781354364.9022198,2026-06-13 15:39:24,,,,
544,2,limit_grid,AIOUSDT,0.13864,pump_base,support,proximity,5,0.932,0.6,flash,3.07,0.0017971428571428483,0.13710074,1781354005.768921,2026-06-13 15:33:25,200.0,long,8,1.1592033694631625,1.5551896316233909,,,,,,,,open,1781354005.7689977,2026-06-13 15:33:25,1781355069.355135,2026-06-13 15:51:09,,,,
